number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_accuracy,test_f1,test_loss,test_precision,test_recall,validation_accuracy,validation_loss
20,feature_0.1,default,MNIST,3,24,0.982,0.981990835,0.061346538,0.982025967,0.982,0.981999993,0.07559517
20,feature_0.1,default,MNIST,1,35,0.9837,0.983705219,0.061360151,0.983740598,0.9837,0.980333328,0.073798597
20,feature_0.1,federated_robust_scaling,MNIST,3,60,0.8521,0.852001384,0.46265015,0.853115283,0.8521,0.856333315,0.450046659
20,feature_0.1,federated_robust_scaling,MNIST,1,60,0.8315,0.831627387,0.535563767,0.832892787,0.8315,0.829999983,0.523150384
20,feature_0.1,federated_min_max,MNIST,3,60,0.9882,0.988196741,0.033340681,0.988217732,0.9882,0.986333311,0.049573045
20,feature_0.1,federated_min_max,MNIST,1,60,0.9887,0.988697718,0.036823019,0.988715484,0.9887,0.984666646,0.052091137
20,feature_0.1,federated_z_score,MNIST,3,49,0.9879,0.987894501,0.043589126,0.987909742,0.9879,0.987166643,0.049113519
20,feature_0.1,federated_z_score,MNIST,1,47,0.9876,0.98759359,0.038689956,0.987607766,0.9876,0.987666667,0.047353107
20,feature_0.1,local_robust_scaling,MNIST,3,60,0.8217,0.82247682,0.879752219,0.824492247,0.8217,0.814166665,0.847594619
20,feature_0.1,local_robust_scaling,MNIST,1,60,0.7989,0.798603415,0.953598857,0.800531475,0.7989,0.791333318,0.916006207
20,feature_0.1,instance_norm,MNIST,3,30,0.9868,0.986800317,0.042526312,0.986812493,0.9868,0.984333336,0.055085603
20,feature_0.1,instance_norm,MNIST,1,31,0.9891,0.989099955,0.038943343,0.989109441,0.9891,0.987333357,0.043173097
20,feature_0.1,group_norm,MNIST,3,28,0.9884,0.988396941,0.038800649,0.988405098,0.9884,0.985166669,0.049412873
20,feature_0.1,group_norm,MNIST,1,34,0.9908,0.990799657,0.033734113,0.990815832,0.9908,0.98816669,0.046146061
20,feature_0.1,layer_norm,MNIST,3,33,0.9881,0.988093685,0.041568819,0.988102615,0.9881,0.986000001,0.048366334
20,feature_0.1,layer_norm,MNIST,1,27,0.987,0.986994252,0.04459041,0.987001372,0.987,0.98483336,0.052574363
20,feature_0.1,batch_norm,MNIST,3,32,0.9888,0.988797326,0.035884172,0.988804385,0.9888,0.988333344,0.050369442
20,feature_0.1,local_min_max,MNIST,3,6,0.9512,0.951127217,0.411748588,0.951165388,0.9512,0.945666671,0.45174551
20,feature_0.1,batch_norm,MNIST,1,29,0.9879,0.987896408,0.038775291,0.98791255,0.9879,0.986999989,0.051210839
20,feature_0.1,local_z_score,MNIST,3,8,0.9668,0.966774091,0.25958693,0.966800264,0.9668,0.964166641,0.476774365
20,feature_0.1,local_min_max,MNIST,1,11,0.9683,0.968274707,0.320182055,0.968366089,0.9683,0.959999979,0.499704093
10,feature_0.01,default,MNIST,3,23,0.985,0.984997121,0.053704061,0.98501728,0.985,0.985000014,0.0685528
20,feature_0.1,local_z_score,MNIST,1,10,0.9731,0.973087623,0.429692328,0.973107255,0.9731,0.970833361,0.274364531
10,feature_0.01,default,MNIST,1,23,0.984,0.983999178,0.057163019,0.984016102,0.984,0.983333349,0.06417089
10,feature_0.01,federated_robust_scaling,MNIST,3,60,0.8618,0.862153059,0.462644249,0.865381561,0.8618,0.856833339,0.465089321
10,feature_0.01,federated_robust_scaling,MNIST,1,36,0.7689,0.768183662,0.742347419,0.774153347,0.7689,0.769666672,0.742048025
10,feature_0.01,federated_min_max,MNIST,3,41,0.9902,0.990198519,0.034993846,0.990215447,0.9902,0.988833308,0.040542334
10,feature_0.01,federated_min_max,MNIST,1,37,0.9916,0.991602272,0.041922528,0.991611915,0.9916,0.988833308,0.043509562
10,feature_0.01,federated_z_score,MNIST,3,21,0.9874,0.987398511,0.078500114,0.987413709,0.9874,0.986500025,0.047096696
10,feature_0.01,federated_z_score,MNIST,1,12,0.9837,0.983687626,0.068569399,0.983725051,0.9837,0.98150003,0.064177126
10,feature_0.01,local_robust_scaling,MNIST,3,42,0.7341,0.737380202,1.177996635,0.74912167,0.7341,0.729333341,1.123320222
10,feature_0.01,local_robust_scaling,MNIST,1,35,0.7584,0.758615586,1.091617584,0.761454312,0.7584,0.746333361,1.059556842
10,feature_0.01,instance_norm,MNIST,3,18,0.988,0.98799566,0.039829414,0.988005805,0.988,0.988333344,0.044384945
10,feature_0.01,instance_norm,MNIST,1,18,0.9863,0.986298471,0.044418223,0.98632888,0.9863,0.985000014,0.049607191
10,feature_0.01,group_norm,MNIST,1,14,0.9881,0.988099085,0.037450831,0.988109422,0.9881,0.985333323,0.047056884
10,feature_0.01,group_norm,MNIST,3,20,0.9901,0.99009945,0.032474417,0.990105057,0.9901,0.987500012,0.046648774
10,feature_0.01,layer_norm,MNIST,1,22,0.9902,0.990196643,0.029760318,0.990210132,0.9902,0.986500025,0.047121786
10,feature_0.01,layer_norm,MNIST,3,21,0.9869,0.986897517,0.040881384,0.986901808,0.9869,0.986166656,0.050221186
10,feature_0.01,batch_norm,MNIST,1,15,0.9892,0.98919511,0.035585634,0.989228686,0.9892,0.984333336,0.05033607
10,feature_0.01,batch_norm,MNIST,3,15,0.9904,0.990399609,0.029960221,0.990409259,0.9904,0.986333311,0.047192417
10,feature_0.01,local_min_max,MNIST,1,3,0.9497,0.949727435,1.13945055,0.950079135,0.9497,0.943166673,0.942413151
10,feature_0.01,local_z_score,MNIST,2,5,0.9726,0.97257938,1.023840427,0.972660616,0.9726,0.970833361,0.440936893
10,feature_0.01,local_min_max,MNIST,3,1,0.8855,0.885102703,1.08489573,0.888946948,0.8855,0.882166684,1.681739688
10,feature_0.01,local_z_score,MNIST,1,5,0.973,0.972973237,0.83118701,0.973013409,0.973,0.970666647,0.680868626
10,feature_0.01,local_z_score,MNIST,3,2,0.9535,0.953427888,0.746058941,0.953490481,0.9535,0.948499978,1.166802764
10,feature_0.1,default,MNIST,2,30,0.9861,0.986090747,0.05613672,0.986112043,0.9861,0.984000027,0.065848738
10,feature_0.1,default,MNIST,1,21,0.9848,0.98480543,0.056238808,0.984824803,0.9848,0.985833347,0.054447833
10,feature_0.1,default,MNIST,3,23,0.9853,0.985299152,0.056647919,0.985314001,0.9853,0.984166682,0.06541793
10,feature_0.1,federated_robust_scaling,MNIST,2,60,0.9173,0.917490554,0.273117542,0.918372612,0.9173,0.916499972,0.275414497
10,feature_0.1,federated_robust_scaling,MNIST,1,60,0.931,0.931006842,0.222083256,0.932250869,0.931,0.925166667,0.230895594
