number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_loss,test_mae,test_r2,validation_loss,validation_r2
20,quantity_0.7,local_z_score,Parkinson’s,3,84,24.98357582092285,3.6466670095185183,0.7785208095230716,20.389572143554688,0.828441931
20,feature_0.3,federated_robust_scaling,Parkinson’s,2,84,41.76655960083008,4.824188845812187,0.6241249574374971,39.948455810546875,0.6773254844387128
20,quantity_0.7,federated_yeo_johnson,Parkinson’s,3,84,31.20777130126953,4.254317460307115,0.7233434814712201,28.016836166381836,0.7642660367592822
20,feature_0.3,federated_z_score,Parkinson’s,2,84,35.97843551635742,4.523607898489066,0.6762145816206955,36.83123016357422,0.7025041462265896
20,feature_0.3,local_robust_scaling,Parkinson’s,2,1,1083.7220458984375,20.393791321849253,-8.752876762,403.9503479003906,-2.262816887
20,feature_0.3,instance_norm,Parkinson’s,2,3,115.3245849609375,8.330268176165465,-0.037854883,123.00772857666016,0.006433256
20,quantity_0.7,local_yeo_johnson,Parkinson’s,3,84,24.81445313,3.847746552954997,0.7800200680768734,19.82453155517578,0.8331961963940546
20,feature_0.3,federated_min_max,Parkinson’s,2,84,71.31671905517578,6.507923944414404,0.358190277,76.63428497314453,0.3810040864347405
20,feature_0.3,group_norm,Parkinson’s,2,3,118.17080688476562,8.470464047451946,-0.063469594,127.31771850585938,-0.028379803
20,feature_0.3,layer_norm,Parkinson’s,2,3,121.94126892089844,8.49665379,-0.097401279,127.88053894042967,-0.032925881
20,feature_0.3,batch_norm,Parkinson’s,2,78,78.10095977783203,7.007337892265352,0.2971359833682423,82.08128356933594,0.337007286
20,feature_0.3,local_min_max,Parkinson’s,2,30,102.63629913330078,8.067102546,0.076332177,102.99443817138672,0.16808593247717152
20,feature_0.3,local_z_score,Parkinson’s,2,1,1192.356445,21.668662928928075,-9.730527563,493.0123291015625,-2.982194102
20,quantity_5.0,federated_robust_scaling,Parkinson’s,3,84,49.82906723022461,5.6007368813217955,0.5582658242670633,43.9311409,0.6303629042161978
20,default,group_norm,Parkinson’s,2,37,109.9858169555664,7.905642938411938,0.010190538,112.83576202392578,0.08859481
20,feature_0.3,federated_yeo_johnson,Parkinson’s,2,84,33.34929656982422,4.476416337947081,0.6998753115133676,34.898983001708984,0.7181113975157318
20,feature_0.3,local_yeo_johnson,Parkinson’s,2,1,614.0054931640625,14.508061568226536,-4.525697705,306.3059997558594,-1.474116273
20,default,default,Parkinson’s,2,1,180.0762481689453,10.625306942374383,-0.620583364,123.0937271118164,0.005738428
20,quantity_5.0,federated_min_max,Parkinson’s,3,84,63.69317626953125,6.124410092539027,0.4353606879902744,59.27766418457031,0.5012371678282217
20,default,federated_robust_scaling,Parkinson’s,2,84,48.38329315185547,5.427737456951483,0.564578103,52.09653854370117,0.5792021285663884
20,quantity_5.0,instance_norm,Parkinson’s,3,80,96.99365234,7.470000461110718,0.14015245263332698,96.52880859,0.18780562120231803
20,default,federated_min_max,Parkinson’s,2,84,62.27442932128906,5.973273081905173,0.4395656628725959,65.52231598,0.4707585192014566
20,default,federated_z_score,Parkinson’s,2,84,33.38610076904297,4.378461393307217,0.6995441579844832,32.91705322265625,0.7341200398802035
20,quantity_5.0,federated_z_score,Parkinson’s,3,84,44.757328033447266,5.005155485028642,0.6032267337782059,39.472198486328125,0.6678804391873776
20,default,local_robust_scaling,Parkinson’s,2,84,55.52379608154297,5.7867028786557615,0.5003175620948866,56.64503098,0.5424627545584702
20,quantity_5.0,local_robust_scaling,Parkinson’s,3,84,53.08944320678711,5.714360548623322,0.5293625158775979,47.66117477416992,0.5989783317983899
20,default,instance_norm,Parkinson’s,2,84,85.29795837402344,7.218548329835128,0.23236753662454343,97.71776580810548,0.210707128
20,quantity_5.0,group_norm,Parkinson’s,3,27,113.21560668945312,8.056585271983947,-0.003655173,113.43440246582033,0.045561594
20,quantity_5.0,layer_norm,Parkinson’s,3,17,108.47298431396484,7.904048164182958,0.038388159,111.89836883544922,0.05848585
20,quantity_5.0,batch_norm,Parkinson’s,3,16,80.65314483642578,7.363046463107657,0.2850106469440812,78.58084869384766,0.33881994906340074
20,quantity_5.0,local_min_max,Parkinson’s,3,84,65.55784606933594,6.253925497239447,0.4188302298110264,60.906471252441406,0.48753224153965224
20,quantity_5.0,local_z_score,Parkinson’s,3,84,32.22389602661133,4.301551450689369,0.714335432,28.60103988647461,0.759350528
20,quantity_5.0,federated_yeo_johnson,Parkinson’s,3,84,38.988182067871094,4.860663209455641,0.6543701645277517,37.29883575439453,0.6861671443382248
