number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_accuracy,test_f1,test_loss,test_precision,test_recall,validation_accuracy,validation_loss
50,feature_0.01,instance_norm,CIFAR10,3,80,0.659,0.6575132317417225,0.9815488457679749,0.6576555682905042,0.659,0.6639999747276306,0.9858728647232056
50,label_5.0,batch_norm,CIFAR10,2,80,0.693,0.6931527461084573,0.8971854448318481,0.6971389468707121,0.693,0.6995999813079834,0.8865506052970886
50,feature_0.01,layer_norm,CIFAR10,1,80,0.6799,0.6765083764122336,0.9288865923881532,0.6763364151160848,0.6799,0.6815999746322632,0.923310935
50,label_5.0,local_z_score,CIFAR10,2,80,0.6763,0.672170924,0.9277387857437134,0.6717915862323606,0.6763,0.6769999861717224,0.9365519285202026
50,feature_0.01,group_norm,CIFAR10,3,80,0.6681,0.6658558735568177,0.9796962141990662,0.6656925682222462,0.6681,0.6715999841690063,0.9788811802864076
50,feature_0.01,batch_norm,CIFAR10,1,80,0.6928,0.6912354841304383,0.8941679000854492,0.6912604006824634,0.6928,0.699400008,0.8819698095321655
50,feature_0.01,instance_norm,CIFAR10,2,80,0.6638,0.6615557678589118,0.9942408204078674,0.6613107259253135,0.6638,0.6692000031471252,0.9792836904525756
50,feature_0.01,batch_norm,CIFAR10,3,80,0.6879,0.6866631567389054,0.9116927981376648,0.6870030729805411,0.6879,0.696399987,0.8964068293571472
50,feature_0.1,default,CIFAR10,1,80,0.578,0.5700244667736409,1.195585012435913,0.5742333871365152,0.578,0.5759999752044678,1.205408811569214
50,label_5.0,local_min_max,CIFAR10,2,80,0.6132,0.6082248018230726,1.108615517616272,0.6077030479891639,0.6132,0.6187999844551086,1.115919589996338
50,default,local_robust_scaling,CIFAR10,1,80,0.6773,0.6747105680812431,0.9274734258651732,0.6742684252781203,0.6773,0.6844000220298767,0.9264041781425476
50,feature_0.01,default,CIFAR10,2,80,0.5957,0.590736415,1.1817930936813354,0.5938110982695916,0.5957,0.599399984,1.1861108541488647
50,feature_0.01,local_min_max,CIFAR10,3,80,0.619,0.6151126051274212,1.089271068572998,0.6144906435008181,0.619,0.623199999,1.093927264213562
50,feature_0.01,local_min_max,CIFAR10,1,80,0.6388,0.6355009121135277,1.0466338396072388,0.6341837758402379,0.6388,0.6406000256538391,1.052252173423767
50,feature_0.01,federated_robust_scaling,CIFAR10,2,80,0.6776,0.6745979839437026,0.930954099,0.67416611,0.6776,0.6830000281333923,0.932411253
50,feature_0.01,local_z_score,CIFAR10,3,80,0.6856,0.6830024203729159,0.902745783,0.6825967485176456,0.6856,0.6922000050544739,0.8950385451316833
50,feature_0.01,local_z_score,CIFAR10,1,80,0.689,0.6862236533685374,0.9140709042549132,0.686126002,0.689,0.6866000294685364,0.915313184
50,feature_0.01,federated_min_max,CIFAR10,2,80,0.63,0.6264209548563636,1.0559980869293213,0.6249307895750045,0.63,0.6241999864578247,1.072452425956726
50,feature_0.1,federated_robust_scaling,CIFAR10,3,80,0.6825,0.6800805148742874,0.922122061,0.6792414365489585,0.6825,0.6905999779701233,0.9229339957237244
50,feature_0.1,federated_robust_scaling,CIFAR10,1,80,0.6752,0.6723558937806856,0.932866871,0.6716233995467342,0.6752,0.678600013,0.9335691332817078
50,feature_0.01,federated_z_score,CIFAR10,2,80,0.6941,0.6910767286899591,0.8950510025024414,0.6903229037559366,0.6941,0.6995999813079834,0.8864216804504395
50,feature_0.1,federated_min_max,CIFAR10,3,80,0.6285,0.6249440144719105,1.0590718984603882,0.6243360321738155,0.6285,0.6241999864578247,1.073949694633484
50,feature_0.1,federated_min_max,CIFAR10,1,80,0.627,0.6226132310591722,1.0591280460357666,0.6213434223548069,0.627,0.6330000162124634,1.0697535276412964
50,feature_0.1,federated_z_score,CIFAR10,3,80,0.6895,0.6880163770715059,0.9012514352798462,0.6882105950130466,0.6895,0.6937999725341797,0.8996395468711853
50,feature_0.01,local_robust_scaling,CIFAR10,2,80,0.6761,0.6736704919804551,0.936177373,0.6730831792585724,0.6761,0.6777999997138977,0.9383879899978638
50,feature_0.1,layer_norm,CIFAR10,1,51,0.5845,0.5800118366443834,1.1901566982269287,0.5834645731917397,0.5845,0.590399981,1.201018452644348
50,default,local_robust_scaling,CIFAR10,3,80,0.6738,0.6705379618467465,0.932464063,0.6693994381858418,0.6738,0.6736000180244446,0.9353194236755372
50,feature_0.1,federated_z_score,CIFAR10,1,80,0.6923,0.6900136118624128,0.8965188264846802,0.6895233092656256,0.6923,0.6899999976158142,0.8998990058898926
50,feature_0.01,group_norm,CIFAR10,2,80,0.6444,0.6408753418897095,1.0180097818374634,0.642969553,0.6444,0.6534000039100647,1.0183334350585938
50,feature_0.01,batch_norm,CIFAR10,2,80,0.6864,0.6861640342481828,0.905945599,0.6891094598128974,0.6864,0.6980000138282776,0.8932337760925293
50,feature_0.1,instance_norm,CIFAR10,3,80,0.6639,0.6600362498594178,0.9798085689544678,0.6601695902874697,0.6639,0.6700000166893005,0.9817544221878052
50,feature_0.01,local_min_max,CIFAR10,2,80,0.633,0.6280256518336502,1.0376718044281006,0.6263077751255873,0.633,0.6381999850273132,1.0534884929656982
50,feature_0.01,local_z_score,CIFAR10,2,80,0.6904,0.6888561891128434,0.900517464,0.6884403150718337,0.6904,0.6985999941825867,0.8971438407897949
50,feature_0.1,group_norm,CIFAR10,3,80,0.6514,0.6480379138516597,1.019261598587036,0.6484672304816568,0.6514,0.659600019,1.0139559507369995
50,feature_0.1,instance_norm,CIFAR10,1,80,0.6433,0.639551624,1.028766155,0.6397548954458383,0.6433,0.6485999822616577,1.0361607074737549
50,feature_0.1,default,CIFAR10,2,80,0.5797,0.5732035458614174,1.2165144681930542,0.574249806,0.5797,0.5813999772071838,1.2232204675674438
50,feature_0.1,federated_robust_scaling,CIFAR10,2,80,0.6776,0.6747943436216146,0.9126250743865968,0.6744308325436418,0.6776,0.6872000098228455,0.9060084223747252
50,feature_0.1,layer_norm,CIFAR10,3,80,0.6613,0.6562282436916198,0.9733571410179138,0.6563423637992617,0.6613,0.6611999869346619,0.9712775349617004
50,feature_0.1,group_norm,CIFAR10,1,80,0.6564,0.6557878964708022,1.006056308746338,0.6577650141613071,0.6564,0.6679999828338623,1.010998010635376
50,feature_0.1,federated_min_max,CIFAR10,2,80,0.6244,0.61978007,1.0636249780654907,0.6189068542246631,0.6244,0.6287999749183655,1.0708012580871582
50,feature_0.1,batch_norm,CIFAR10,3,80,0.6892,0.6881326779429683,0.8993375897407532,0.6881786783660842,0.6892,0.7021999955177307,0.8966965079307556
50,feature_0.1,federated_z_score,CIFAR10,2,80,0.6924,0.6891894820885222,0.8900940418243408,0.6882081186077207,0.6924,0.6988000273704529,0.8865243196487427
50,feature_0.1,batch_norm,CIFAR10,1,80,0.6959,0.6963795127794731,0.8954333066940308,0.6989322813514371,0.6959,0.6948000192642212,0.8923211097717285
50,feature_0.1,local_min_max,CIFAR10,3,80,0.629,0.6246317193351495,1.0619734525680542,0.6235831389525643,0.629,0.6302000284194946,1.0692572593688965
50,feature_0.1,local_min_max,CIFAR10,1,80,0.6289,0.6248329429951083,1.0662685632705688,0.6248936494848963,0.6289,0.6322000026702881,1.0782523155212402
50,feature_0.1,local_z_score,CIFAR10,3,80,0.6807,0.676768962,0.9095982313156128,0.6761968684872244,0.6807,0.6922000050544739,0.9092645645141602
50,feature_0.1,local_z_score,CIFAR10,1,80,0.6889,0.6854982579358586,0.8920318484306335,0.6844349561448143,0.6889,0.694599986,0.8955125212669373
50,default,default,CIFAR10,3,80,0.5873,0.5804576448207085,1.1863024234771729,0.5816668887973527,0.5873,0.5938000082969666,1.1945370435714722
50,default,local_robust_scaling,CIFAR10,2,80,0.6787,0.6757796558787216,0.9194675087928772,0.6746062126131069,0.6787,0.6772000193595886,0.9196056723594666
50,feature_0.1,instance_norm,CIFAR10,2,80,0.6558,0.653587414,1.0017868280410769,0.65360413,0.6558,0.6632000207901001,0.997606635
50,feature_0.1,group_norm,CIFAR10,2,80,0.6596,0.6578974898727407,1.0036386251449585,0.6576154710157778,0.6596,0.6592000126838684,1.0009008646011353
50,feature_0.1,layer_norm,CIFAR10,2,80,0.6582,0.6543711054778542,0.9714040160179138,0.6548596464800952,0.6582,0.6589999794960022,0.9727782011032104
